;nom;joueurs;age;duree_minutes;image_url
59;Dékal;2 — 6;7+;10 — 20;https://www.myludo.fr/img/jeux/1753050088/300/cy/76176.png
60;Wyrmspan;1 — 5;14+;90;https://www.myludo.fr/img/jeux/1745779464/300/cv/73777.png
61;Looot;2 — 4;10+;35;https://www.myludo.fr/img/jeux/1755419832/300/cw/74079.png
62;Coloretto;2 — 5;8+;30;https://www.myludo.fr/img/jeux/1729377964/300/ar/17089.png
63;Quando;2 — 6;8+;4 — 24;https://www.myludo.fr/img/jeux/1748248806/300/cx/75630.png
64;Sync Or Swim;3 — 6;14+;30 — 45;https://www.myludo.fr/img/jeux/1733668499/300/cv/73825.png
65;Cyberpunk 2077;1 — 4;14+;60 — 120;https://www.myludo.fr/img/jeux/1713519851/300/cy/76582.png
66;Onix;2 — 6;7+;15 — 25;https://www.myludo.fr/img/jeux/1716194517/300/cx/75176.png
67;Olympikos;2 — 6;8+;15 — 30;https://www.myludo.fr/img/jeux/1754002777/300/cy/76518.png
68;Eat Zem All;2 — 4;13+;45;https://www.myludo.fr/img/jeux/1726606579/300/co/66424.png
69;Middle Ages;2 — 5;10+;30;https://www.myludo.fr/img/jeux/1755419484/300/cv/73789.png
70;Faux-Culte !! - Le Pire Contre-Attaque;2+;14+;20;https://www.myludo.fr/img/jeux/1725093959/300/cv/73871.png
71;Secret Identity;3 — 8;10+;20 — 40;https://www.myludo.fr/img/jeux/1714587554/300/cy/76998.png
72;Les Toits De Paris;2 — 4;10+;25;https://www.myludo.fr/img/jeux/1740627868/300/cm/64810.png
73;Skull;3 — 6;10+;30;https://www.myludo.fr/img/jeux/1733836880/300/co/66208.png
74;CardLine - Animaux;2 — 8;7+;15;https://www.myludo.fr/img/jeux/1756064115/300/cm/64503.png
75;Wingspan;1 — 5;10+;60;https://www.myludo.fr/img/jeux/1755502555/300/cw/74434.png
76;That'S Not A Hat;3 — 8;8+;15;https://www.myludo.fr/img/jeux/1741895767/300/ck/62447.png
